"node_id","modificado_top","modificado_final","oficial_jerarquico_top","oficial_jerarquico_final","oficial_two_level_top","oficial_two_level_final"
119,3,11,1,1,11,11
120,3,11,1,1,11,11
121,3,46,2,64,45,45
122,3,46,2,64,45,45
123,3,11,1,1,11,11
124,3,11,1,1,11,11
125,3,11,1,1,11,11
126,11,34,6,160,33,33
127,3,3,2,37,3,3
128,3,11,1,1,11,11
129,3,47,2,32,46,46
130,9,26,9,192,26,26
131,3,4,2,38,4,4
132,3,48,2,35,47,47
133,3,11,1,1,11,11
134,3,3,2,37,3,3
135,3,11,1,1,11,11
136,3,11,1,1,11,11
137,3,48,2,35,47,47
138,3,49,2,39,48,48
139,3,48,2,35,47,47
140,11,34,6,160,33,33
141,12,50,5,145,49,49
142,3,3,2,49,50,50
143,3,11,1,1,11,11
144,1,51,1,23,51,51
145,2,2,4,128,2,2
146,7,52,3,111,52,52
147,3,3,2,49,50,50
148,3,53,2,32,53,53
149,7,52,3,111,52,52
150,3,54,1,13,54,54
151,1,55,1,25,55,55
152,3,47,2,32,46,46
153,1,18,1,2,18,18
154,1,1,1,3,1,1
155,5,16,7,181,16,16
156,3,11,1,1,11,11
157,3,48,2,35,47,47
158,2,2,4,128,2,2
159,3,5,5,143,5,5
160,1,18,1,2,18,18
161,9,26,9,192,26,26
162,3,5,5,143,5,5
163,2,2,4,129,2,2
164,3,48,2,35,47,47
165,3,21,2,36,21,21
166,5,16,7,181,16,16
167,3,56,2,57,56,56
168,3,57,1,6,57,57
169,3,19,2,69,19,19
170,1,18,1,2,18,18
171,3,5,5,143,5,5
172,3,5,5,143,5,5
173,3,13,2,34,13,13
174,10,28,8,185,28,28
175,5,14,7,170,14,14
176,3,11,1,7,51,51
177,7,58,3,110,58,58
178,2,2,4,128,2,2
179,11,34,6,160,33,33
180,3,5,5,143,5,5
181,3,13,2,34,13,13
182,1,1,1,3,1,1
183,3,19,2,69,19,19
184,3,20,2,43,20,20
185,3,56,2,57,56,56
186,11,59,6,159,59,59
187,3,4,2,38,4,4
188,3,3,2,37,3,3
189,1,18,1,2,18,18
190,1,18,1,2,18,18
191,3,13,2,34,13,13
192,1,18,1,2,18,18
193,3,5,5,143,5,5
194,3,3,2,37,3,3
195,3,21,2,36,21,21
196,3,3,2,37,3,3
197,3,5,5,143,5,5
198,3,21,2,36,21,21
199,3,13,2,34,13,13
200,3,12,2,56,12,12
201,3,60,2,39,48,48
202,3,11,1,1,11,11
203,3,44,2,62,43,43
204,3,21,2,36,21,21
205,13,61,5,149,60,60
206,10,28,8,185,28,28
207,4,6,13,237,6,6
208,3,3,2,37,3,3
209,3,12,2,56,12,12
210,11,59,6,159,59,59
211,3,8,2,63,8,8
212,7,17,3,99,17,17
213,3,5,5,143,5,5
214,2,2,4,128,2,2
215,14,62,4,134,61,61
216,2,2,4,128,2,2
217,1,1,1,3,1,1
218,10,28,8,185,28,28
219,7,63,3,105,62,62
220,1,1,1,3,1,1
221,7,64,3,116,63,63
222,2,2,4,129,2,2
223,1,18,1,2,18,18
224,3,20,2,43,20,20
225,7,17,3,99,17,17
226,2,65,5,148,5,5
227,2,22,5,152,22,22
228,13,61,5,149,60,60
229,2,2,4,129,2,2
230,3,11,1,1,11,11
231,14,62,4,134,61,61
232,7,63,3,105,62,62
233,3,21,2,36,21,21
234,3,66,5,156,64,64
235,3,5,5,144,5,5
236,3,12,2,56,12,12
237,3,13,2,34,13,13
238,11,59,6,159,59,59
239,2,22,5,151,22,22
240,2,22,5,150,22,22
241,1,1,1,3,1,1
242,7,17,3,99,17,17
243,1,1,1,3,1,1
244,3,5,5,143,5,5
245,13,61,5,149,60,60
246,3,67,2,96,65,65
247,3,5,5,144,5,5
248,7,63,3,105,62,62
249,1,18,1,2,18,18
250,3,12,2,56,12,12
251,3,5,5,144,5,5
252,3,20,2,43,20,20
253,1,1,1,3,1,1
254,11,59,6,159,59,59
255,12,68,2,88,66,66
256,12,50,5,145,49,49
257,1,1,1,3,1,1
258,3,13,2,34,13,13
259,3,69,2,50,67,67
260,1,27,1,10,27,27
261,13,61,5,149,60,60
262,10,28,8,186,28,28
263,3,70,2,32,68,68
264,3,71,1,6,57,57
265,1,18,1,2,18,18
266,3,5,5,144,5,5
267,3,41,1,8,40,40
268,3,72,2,42,69,69
269,3,73,5,146,5,5
270,12,50,5,145,49,49
271,3,11,1,5,11,11
272,8,74,11,223,70,70
273,3,72,2,42,69,69
274,2,23,4,131,2,2
275,3,11,1,1,11,11
276,3,48,2,35,47,47
277,1,1,1,3,1,1
278,3,21,2,36,21,21
279,3,75,1,19,71,71
280,3,76,2,72,72,72
281,3,11,1,1,11,11
282,7,77,3,100,73,73
283,3,5,5,144,5,5
284,7,64,3,116,63,63
285,3,11,1,1,11,11
286,2,78,4,132,74,74
287,13,79,5,154,75,75
288,3,72,2,42,69,69
289,7,17,3,99,17,17
290,7,39,3,101,38,38
291,3,80,2,32,76,76
292,11,34,6,160,33,33
293,3,11,1,1,11,11
294,8,81,11,219,77,77
295,11,59,6,159,59,59
296,7,25,3,112,25,25
297,1,1,1,3,1,1
298,5,36,7,169,35,35
299,1,18,1,2,18,18
300,3,72,2,42,69,69
301,3,82,2,65,78,78
302,3,5,5,144,5,5
303,3,11,1,5,11,11
304,13,61,5,149,60,60
305,3,73,5,153,79,79
306,2,78,4,132,74,74
307,2,2,4,128,2,2
308,7,25,3,112,25,25
309,3,83,2,53,80,80
310,3,20,2,43,20,20
311,3,80,2,32,76,76
312,7,84,3,107,81,81
313,3,85,2,54,37,37
314,3,13,2,34,13,13
315,1,1,1,3,1,1
316,5,30,7,171,30,30
317,6,86,10,217,82,82
318,3,47,2,51,46,46
319,3,11,1,5,11,11
320,1,87,1,14,83,83
321,3,11,1,1,11,11
322,1,37,1,9,36,36
323,11,59,6,159,59,59
324,2,2,4,128,2,2
325,7,39,3,101,38,38
326,3,44,2,62,43,43
327,1,1,1,3,1,1
328,3,88,2,33,84,84
329,3,83,2,53,80,80
330,3,66,5,156,64,64
331,3,80,2,32,76,76
332,3,5,5,144,5,5
333,1,1,1,3,1,1
334,2,2,4,128,2,2
335,11,59,6,159,59,59
336,8,24,11,218,24,24
337,3,89,1,4,85,85
338,3,71,1,5,57,57
339,3,46,2,64,45,45
340,3,29,2,86,29,29
341,11,59,6,159,59,59
342,3,11,1,1,11,11
343,1,37,1,9,36,36
344,2,78,4,132,74,74
345,3,11,1,5,11,11
346,3,90,1,7,51,51
347,1,37,1,9,36,36
348,1,18,1,2,18,18
349,1,91,1,21,86,86
350,3,44,2,62,43,43
351,3,89,1,4,85,85
352,4,92,13,239,87,87
353,5,30,7,171,30,30
354,3,93,2,45,88,88
355,3,5,5,144,5,5
356,3,94,2,78,89,89
357,3,95,5,153,90,90
358,1,18,1,2,18,18
359,1,18,1,2,18,18
360,1,87,1,14,83,83
361,3,73,5,146,79,79
362,1,18,1,2,18,18
363,2,2,4,128,2,2
364,13,79,5,154,75,75
365,5,96,7,172,91,91
366,7,58,3,115,58,58
367,1,37,1,9,36,36
368,3,11,1,1,11,11
369,6,86,10,217,82,82
370,4,92,13,236,87,87
371,3,82,2,65,78,78
372,5,14,7,171,30,30
373,3,72,2,42,69,69
374,3,97,2,41,92,92
375,3,5,5,143,5,5
376,1,18,1,2,18,18
377,3,20,2,43,20,20
378,2,98,11,220,93,93
379,10,28,8,185,28,28
380,5,36,7,169,35,35
381,3,5,5,143,5,5
382,5,99,7,177,7,7
383,3,100,1,15,94,94
384,4,92,13,236,87,87
385,3,100,1,15,94,94
386,2,101,4,136,95,95
387,3,41,1,8,40,40
388,1,87,1,14,83,83
389,3,4,2,38,4,4
390,3,80,2,32,76,76
391,3,102,2,35,96,96
392,3,103,2,67,97,97
393,3,53,2,32,98,98
394,1,18,1,2,18,18
395,1,18,1,2,18,18
396,3,20,2,43,20,20
397,5,96,7,172,91,91
398,3,104,2,44,99,99
399,2,23,4,131,23,23
400,3,5,5,143,5,5
401,3,5,5,144,5,5
402,3,20,2,43,20,20
403,1,51,1,23,51,51
404,2,101,4,136,95,95
405,3,73,5,155,79,79
406,12,68,2,89,66,66
407,10,28,8,185,28,28
408,8,105,11,222,100,100
409,7,58,3,115,58,58
410,3,75,1,15,94,94
411,3,83,2,53,80,80
412,3,73,5,148,39,39
413,3,11,1,12,11,11
414,6,106,10,212,101,101
415,1,1,1,3,1,1
416,2,78,4,132,74,74
417,3,97,2,41,92,92
418,2,2,4,129,2,2
419,3,80,2,32,85,85
420,3,20,2,43,20,20
421,2,23,4,131,23,23
422,3,89,1,4,85,85
423,3,100,1,15,94,94
424,7,45,3,102,44,44
425,3,20,2,43,20,20
426,1,18,1,2,18,18
427,1,1,1,3,1,1
428,3,11,1,5,11,11
429,3,73,5,148,39,39
430,1,1,1,3,1,1
431,3,103,2,51,97,97
432,3,40,5,147,39,39
433,10,28,8,185,28,28
434,3,20,2,43,20,20
435,6,15,10,209,15,15
436,7,63,3,105,62,62
437,12,68,2,88,66,66
438,14,62,4,134,61,61
439,3,13,2,34,13,13
440,7,58,3,115,58,58
441,2,101,4,136,95,95
442,3,107,2,47,67,67
443,7,108,3,104,44,44
444,2,22,5,151,22,22
445,3,11,1,13,11,11
446,15,109,12,229,102,102
447,3,13,2,34,13,13
448,1,110,1,18,103,103
449,6,106,10,215,101,101
450,3,69,2,50,104,104
451,7,58,3,110,58,58
452,3,111,1,29,105,105
453,1,1,1,3,1,1
454,5,14,7,170,14,14
455,2,101,4,136,95,95
456,11,34,6,160,33,33
457,1,18,1,2,18,18
458,11,34,6,160,33,33
459,1,91,1,21,86,86
460,7,63,3,105,62,62
461,3,13,2,34,13,13
462,1,18,1,2,18,18
463,1,1,1,3,1,1
464,3,47,2,32,46,46
465,2,23,4,131,23,23
466,1,18,1,2,18,18
467,5,14,7,170,14,14
468,7,58,3,110,58,58
469,2,2,4,128,2,2
470,2,78,4,132,74,74
471,6,112,10,210,34,34
472,3,19,2,69,19,19
473,1,18,1,2,18,18
474,7,25,1,13,54,54
475,3,54,1,13,54,54
476,3,20,2,54,37,37
477,13,113,9,196,106,106
478,3,73,5,155,79,79
479,3,114,2,48,107,107
480,13,61,5,149,60,60
481,11,59,6,159,59,59
482,2,115,4,140,108,108
483,3,116,2,95,109,109
484,3,46,2,64,45,45
485,3,54,1,13,54,54
486,7,108,3,120,44,44
487,3,5,5,143,5,5
488,1,1,1,3,1,1
489,3,54,1,13,54,54
490,3,111,1,29,105,105
491,3,49,9,193,48,48
492,3,11,1,5,11,11
493,6,112,10,210,34,34
494,3,8,2,63,8,8
495,5,36,7,169,35,35
496,3,103,2,67,97,97
497,2,31,4,133,23,23
498,2,2,4,128,2,2
499,2,65,4,135,10,10
500,7,117,3,109,17,17
501,10,28,8,185,28,28
502,3,11,1,1,11,11
503,1,1,1,3,1,1
504,3,116,2,95,109,109
505,5,99,7,177,7,7
506,3,72,2,42,69,69
507,7,117,3,109,17,17
508,3,73,5,148,39,39
509,3,89,1,4,85,85
510,3,69,2,66,104,104
511,1,1,1,3,1,1
512,2,10,4,130,10,10
513,6,15,10,211,15,15
514,3,21,2,36,21,21
515,9,118,9,201,110,110
516,7,63,3,105,62,62
517,7,39,3,101,38,38
518,3,89,1,4,85,85
519,1,1,1,3,1,1
520,3,29,2,86,29,29
521,3,5,5,143,5,5
522,3,119,2,66,53,53
523,3,102,2,53,96,96
524,3,94,2,78,89,89
525,7,120,3,106,52,52
526,7,121,3,102,111,111
527,1,122,1,26,1,1
528,6,106,10,212,101,101
529,3,72,2,42,69,69
530,10,123,8,188,112,112
531,5,14,7,170,14,14
532,5,16,7,180,16,16
533,3,95,5,153,90,90
534,1,1,1,3,1,1
535,7,108,3,120,44,44
536,3,73,5,148,39,39
537,1,1,1,3,1,1
538,1,1,1,3,1,1
539,6,124,10,207,113,113
540,2,23,4,131,23,23
541,7,125,3,107,114,114
542,3,89,1,4,85,85
543,9,118,9,201,110,110
544,1,18,1,2,18,18
545,3,126,2,55,115,115
546,2,2,4,129,2,2
547,7,39,3,101,38,38
548,3,76,2,72,72,72
549,3,66,5,156,64,64
550,1,1,1,3,1,1
551,2,65,4,135,10,10
552,8,105,11,222,100,100
553,1,127,1,30,116,116
554,1,18,1,2,18,18
555,3,71,1,6,46,46
556,15,128,12,233,102,102
557,1,55,1,25,55,55
558,2,22,5,150,22,22
559,1,1,1,3,1,1
560,6,106,10,212,101,101
561,2,98,11,220,93,93
562,13,61,5,149,60,60
563,5,129,7,176,106,106
564,7,120,3,106,52,52
565,7,117,3,118,117,117
566,2,65,4,135,10,10
567,10,28,8,189,28,28
568,3,60,2,39,48,48
569,12,130,2,87,118,118
570,3,60,2,39,48,48
571,3,57,1,31,57,57
572,1,1,1,3,1,1
573,1,32,1,22,31,31
574,1,87,1,14,83,83
575,8,24,11,218,24,24
576,6,106,10,215,101,101
577,12,50,5,145,49,49
578,3,103,2,67,97,97
579,2,23,4,131,23,23
580,7,84,3,108,81,81
581,1,18,1,2,18,18
582,2,10,4,130,10,10
583,3,38,1,2,37,37
584,6,106,10,212,101,101
585,3,72,2,42,69,69
586,11,59,6,159,59,59
587,7,77,3,100,73,73
588,5,14,7,170,14,14
589,7,39,3,101,38,38
590,10,33,8,187,32,32
591,10,28,8,185,28,28
592,7,39,3,101,38,38
593,1,1,1,3,1,1
594,5,14,7,170,14,14
595,6,106,10,215,101,101
596,3,89,1,4,11,11
597,7,45,3,102,44,44
598,3,88,2,33,84,84
599,1,1,1,3,1,1
600,6,124,10,207,113,113
601,6,15,10,209,15,15
602,7,131,2,43,20,20
603,3,60,2,39,48,48
604,6,35,10,214,34,34
605,1,18,1,2,18,18
606,7,39,3,101,38,38
607,2,31,4,133,23,23
608,2,31,4,133,23,23
609,11,34,6,160,33,33
610,3,5,5,144,5,5
611,1,18,1,2,18,18
612,7,132,9,204,58,58
613,3,133,2,41,88,88
614,1,32,1,22,31,31
615,5,30,7,184,30,30
616,1,1,1,3,1,1
617,1,1,1,3,1,1
618,3,11,1,1,11,11
619,5,14,7,170,14,14
620,7,39,3,101,38,38
621,6,15,10,209,15,15
622,11,59,6,159,59,59
623,15,134,12,230,119,119
624,8,135,2,81,120,120
625,7,136,3,121,121,121
626,3,137,2,91,98,98
627,3,107,2,47,67,67
628,3,46,2,64,45,45
629,7,120,3,106,52,52
630,3,138,2,83,106,106
631,11,139,6,161,122,122
632,15,109,12,229,102,102
633,8,135,2,81,120,120
634,3,11,1,1,11,11
635,3,11,1,1,11,11
636,7,58,9,193,58,58
637,3,11,1,1,11,11
638,3,11,1,1,11,11
639,3,11,1,1,11,11
640,3,11,1,1,11,11
641,3,11,1,1,11,11
642,3,11,1,1,11,11
643,3,11,1,1,11,11
644,3,11,1,1,11,11
645,3,11,1,1,11,11
646,7,77,3,103,73,73
647,3,11,1,1,11,11
648,3,11,1,1,11,11
649,3,11,1,1,11,11
650,3,11,1,1,11,11
651,3,11,1,1,11,11
652,3,11,1,1,11,11
653,3,11,1,1,11,11
654,3,11,1,1,11,11
655,3,11,1,1,11,11
656,3,11,1,1,11,11
657,3,11,1,1,11,11
658,3,11,1,1,11,11
659,3,11,1,1,11,11
660,3,11,1,1,11,11
661,3,11,1,1,11,11
662,3,69,2,50,104,104
663,7,64,3,116,63,63
664,3,11,1,1,11,11
665,3,11,1,1,11,11
666,3,11,1,1,11,11
667,7,136,3,121,121,121
668,14,140,4,137,61,61
669,3,66,5,156,64,64
670,3,11,1,1,11,11
671,3,11,1,1,11,11
672,3,11,1,1,11,11
673,3,90,1,7,51,51
674,3,11,1,1,11,11
675,3,11,1,1,11,11
676,3,141,2,61,123,123
677,3,11,1,1,11,11
678,4,6,13,237,6,6
679,3,11,1,1,11,11
680,3,60,2,39,48,48
681,15,134,12,230,119,119
682,3,11,1,1,11,11
683,3,11,1,1,11,11
684,3,60,2,48,107,107
685,9,26,9,192,26,26
686,3,11,1,1,11,11
687,15,134,12,230,119,119
688,3,4,2,38,4,4
689,3,11,1,1,11,11
690,3,70,2,40,68,68
691,3,46,2,64,45,45
692,3,3,2,37,3,3
693,8,142,2,90,99,99
694,2,98,11,220,93,93
695,11,139,6,161,122,122
696,3,11,1,1,11,11
697,3,11,1,1,11,11
698,3,143,2,60,124,124
699,3,3,2,37,3,3
700,9,43,9,194,42,42
701,3,11,1,1,11,11
702,3,143,2,60,124,124
703,3,47,2,32,46,46
704,3,56,2,57,56,56
705,3,48,2,35,47,47
706,3,48,2,35,47,47
707,3,48,2,35,47,47
708,3,3,2,37,3,3
709,3,48,2,35,47,47
710,11,144,6,162,125,125
711,3,94,2,78,89,89
712,3,11,1,1,11,11
713,3,138,9,196,106,106
714,3,103,2,67,97,97
715,3,3,2,37,3,3
716,3,145,1,28,57,57
717,3,3,2,37,3,3
718,3,48,2,35,47,47
719,3,80,2,32,76,76
720,11,146,6,167,126,126
721,3,83,2,53,80,80
722,3,137,2,91,98,98
723,3,70,2,40,68,68
724,3,70,2,40,68,68
725,3,60,2,39,48,48
726,3,48,2,35,47,47
727,3,11,1,1,11,11
728,3,47,2,32,46,46
729,10,123,9,197,112,112
730,3,71,1,6,57,57
731,3,4,2,38,4,4
732,3,48,2,35,47,47
733,7,64,3,116,63,63
734,3,53,2,46,53,53
735,3,53,2,46,53,53
736,3,102,2,57,96,96
737,9,147,9,202,127,127
738,3,38,2,61,123,123
739,13,113,2,36,106,106
740,3,53,2,46,53,53
741,3,60,2,39,48,48
742,5,99,7,176,106,106
743,9,148,9,199,128,128
744,3,82,2,65,78,78
745,3,53,2,46,53,53
746,10,28,8,185,28,28
747,3,72,2,42,69,69
748,3,104,2,44,99,99
749,3,75,1,19,71,71
750,3,60,2,39,107,107
751,10,28,8,185,28,28
752,3,47,2,32,46,46
753,11,149,6,168,59,59
754,3,70,2,40,68,68
755,3,21,2,36,21,21
756,3,104,2,44,99,99
757,8,142,2,90,99,99
758,3,60,2,39,48,48
759,3,3,2,49,50,50
760,3,47,2,32,46,46
761,3,3,2,49,50,50
762,9,150,9,205,42,42
763,3,151,5,158,48,48
764,2,2,4,128,2,2
765,3,3,2,37,3,3
766,3,152,2,75,107,107
767,3,3,2,37,3,3
768,3,8,2,63,8,8
769,3,153,2,70,129,129
770,3,60,2,39,48,48
771,3,93,2,45,88,88
772,10,28,8,185,28,28
773,3,152,2,75,107,107
774,3,3,2,37,3,3
775,3,93,2,45,88,88
776,10,28,8,185,28,28
777,3,152,2,75,107,107
778,3,152,2,75,107,107
779,10,28,8,185,28,28
780,3,104,2,44,99,99
781,3,11,1,1,11,11
782,3,56,2,57,56,56
783,3,137,2,91,98,98
784,3,11,1,1,11,11
785,1,27,1,10,27,27
786,1,1,1,3,1,1
787,3,82,2,65,78,78
788,3,126,2,50,115,115
789,3,88,2,33,84,84
790,3,11,1,1,11,11
791,3,11,1,1,11,11
792,2,2,4,128,2,2
793,6,154,10,213,130,130
794,3,11,1,1,11,11
795,5,16,7,180,16,16
796,3,103,2,67,97,97
797,3,49,2,39,48,48
798,3,89,1,4,85,85
799,3,11,1,1,11,11
800,3,60,2,39,107,107
801,3,88,2,33,84,84
802,2,2,4,128,2,2
803,3,155,2,59,131,131
804,7,45,3,102,44,44
805,3,41,1,8,40,40
806,9,118,9,201,110,110
807,3,93,2,45,88,88
808,11,156,6,165,132,132
809,6,154,10,213,130,130
810,3,3,2,37,3,3
811,3,60,2,39,48,48
812,11,156,6,165,132,132
813,11,144,6,162,125,125
814,10,28,8,185,28,28
815,7,77,3,100,73,73
816,3,48,2,35,47,47
817,2,98,11,220,93,93
818,9,43,9,194,42,42
819,3,90,1,7,51,51
820,3,82,2,65,78,78
821,10,28,8,185,28,28
822,11,157,6,164,133,133
823,3,155,2,59,131,131
824,3,3,2,59,131,131
825,3,158,2,55,134,134
826,3,71,1,6,51,51
827,3,54,1,13,54,54
828,9,150,9,195,42,42
829,3,119,2,41,50,50
830,3,158,2,55,134,134
831,3,85,2,54,37,37
832,3,126,2,55,115,115
833,3,88,2,33,84,84
834,6,124,10,207,113,113
835,3,11,1,1,11,11
836,7,77,3,100,73,73
837,3,80,2,32,76,76
838,3,53,2,40,53,53
839,9,148,9,199,128,128
840,3,8,2,63,8,8
841,9,43,9,203,42,42
842,3,11,1,1,11,11
843,9,159,9,198,135,135
844,3,60,2,39,48,48
845,9,150,9,195,42,42
846,8,142,2,90,99,99
847,1,27,1,10,27,27
848,3,133,2,85,136,136
849,3,4,2,38,4,4
850,2,2,4,128,2,2
851,3,160,2,46,53,53
852,3,44,2,62,43,43
853,3,114,2,48,107,107
854,3,8,2,63,8,8
855,3,8,2,63,8,8
856,9,161,9,190,137,137
857,3,114,2,48,107,107
858,3,102,2,57,96,96
859,3,21,2,36,21,21
860,3,3,2,37,3,3
861,2,22,5,150,22,22
862,3,3,2,37,3,3
863,3,60,2,39,48,48
864,3,162,2,97,48,48
865,3,102,2,40,96,96
866,3,11,1,1,11,11
867,3,41,1,8,40,40
868,3,80,2,32,76,76
869,3,11,1,1,11,11
870,3,46,2,64,45,45
871,12,50,5,145,49,49
872,3,11,1,1,11,11
873,3,53,1,1,53,53
874,3,47,2,51,46,46
875,3,60,2,39,48,48
876,3,88,2,33,84,84
877,3,11,1,1,11,11
878,3,47,2,32,46,46
879,3,80,2,32,76,76
880,3,47,2,51,46,46
881,3,41,1,8,40,40
882,8,163,2,80,120,120
883,14,164,3,122,44,44
884,11,144,6,163,125,125
885,3,11,1,1,11,11
886,3,21,2,36,21,21
887,3,3,2,37,3,3
888,3,47,2,51,46,46
889,3,53,1,1,53,53
890,3,11,1,12,11,11
891,3,53,2,46,53,53
892,3,93,2,45,88,88
893,9,43,9,203,42,42
894,3,107,2,47,67,67
895,3,80,2,32,76,76
896,3,60,2,39,48,48
897,3,126,2,55,115,115
898,3,102,2,40,96,96
899,2,22,5,150,22,22
900,3,80,2,32,76,76
901,3,72,2,42,69,69
902,3,88,2,33,84,84
903,3,11,1,1,11,11
904,13,113,9,196,106,106
905,11,34,6,160,33,33
906,2,2,4,129,2,2
907,9,148,9,199,128,128
908,3,47,2,32,46,46
909,3,152,2,75,107,107
910,3,53,2,46,53,53
911,1,37,1,9,36,36
912,2,2,4,128,2,2
913,2,22,5,150,22,22
914,3,126,2,55,115,115
915,3,11,1,1,11,11
916,2,22,5,150,22,22
917,2,10,4,139,10,10
918,3,102,2,40,96,96
919,7,77,3,100,73,73
920,3,11,1,1,11,11
921,3,72,2,42,69,69
922,3,80,2,32,76,76
923,3,21,2,36,21,21
924,3,48,2,35,47,47
925,15,109,12,229,102,102
926,3,11,1,1,11,11
927,3,11,1,1,11,11
928,3,20,2,43,20,20
929,3,158,2,55,134,134
930,3,11,1,1,11,11
931,9,150,9,195,42,42
932,3,93,2,45,88,88
933,3,21,2,36,21,21
934,3,165,2,93,76,76
935,3,80,2,32,76,76
936,9,150,11,225,93,93
937,3,88,2,33,84,84
938,3,114,2,48,107,107
939,9,26,9,192,26,26
940,3,21,2,36,21,21
941,3,11,1,1,11,11
942,3,60,2,39,48,48
943,3,165,2,93,76,76
944,7,166,3,127,138,138
945,3,60,2,39,107,107
946,3,90,1,7,51,51
947,9,150,9,205,42,42
948,15,134,12,230,119,119
949,3,40,5,147,39,39
950,1,1,1,3,1,1
951,2,2,4,129,2,2
952,3,165,2,93,76,76
953,8,163,2,80,120,120
954,3,11,1,1,11,11
955,8,163,2,80,120,120
956,3,83,2,53,80,80
957,2,2,4,129,2,2
958,3,88,2,33,84,84
959,3,21,2,36,21,21
960,3,75,1,19,71,71
961,3,90,1,7,51,51
962,3,158,2,55,134,134
963,15,134,12,231,119,119
964,3,11,1,1,11,11
965,3,70,2,40,68,68
966,9,167,9,200,139,139
967,3,90,1,7,51,51
968,8,163,2,82,120,120
969,3,88,2,33,84,84
970,3,80,2,32,76,76
971,3,82,2,65,78,78
972,1,18,1,2,18,18
973,5,129,7,176,106,106
974,1,168,2,52,140,140
975,3,60,2,39,48,48
976,9,148,9,199,128,128
977,3,80,2,32,76,76
978,3,169,1,20,141,141
979,2,170,4,141,142,142
980,3,11,1,1,11,11
981,11,144,6,163,125,125
982,3,82,2,65,78,78
983,12,50,5,157,49,49
984,3,70,2,40,68,68
985,3,171,2,58,92,92
986,9,172,9,206,143,143
987,2,2,4,128,2,2
988,3,4,2,38,4,4
989,3,66,5,156,64,64
990,3,173,2,74,46,46
991,3,60,2,39,48,48
