"node_id","level_1","level_2","level_3","final_module","membership_igraph","oficial_no_regularizado_top","oficial_no_regularizado_final","oficial_regularizado_top","oficial_regularizado_final"
141,1,12,50,50,50,5,145,50,50
142,1,3,3,3,3,2,49,51,51
143,1,3,11,11,11,1,1,10,10
144,1,1,51,51,51,1,23,52,52
145,1,2,2,2,2,4,128,2,2
146,1,7,52,52,52,3,111,53,53
147,1,3,3,3,3,2,49,51,51
148,1,3,53,53,53,2,32,54,54
149,1,7,52,52,52,3,111,53,53
150,1,3,54,54,54,1,13,55,55
151,1,1,55,55,55,1,25,56,56
152,1,3,47,47,47,2,32,47,47
153,1,1,18,18,18,1,2,18,18
154,1,1,1,1,1,1,3,1,1
155,1,5,16,16,16,7,181,15,15
156,1,3,11,11,11,1,1,10,10
157,1,3,48,48,48,2,35,48,48
158,1,2,2,2,2,4,128,2,2
159,1,3,5,5,5,5,143,5,5
160,1,1,18,18,18,1,2,18,18
161,1,9,26,26,26,9,192,27,27
162,1,3,5,5,5,5,143,5,5
163,1,2,2,2,2,4,129,2,2
164,1,3,48,48,48,2,35,48,48
165,1,3,21,21,21,2,36,22,22
166,1,5,16,16,16,7,181,15,15
167,1,3,56,56,56,2,57,57,57
168,1,3,57,57,57,1,6,58,58
169,1,3,19,19,19,2,69,48,48
170,1,1,18,18,18,1,2,18,18
171,1,3,5,5,5,5,143,5,5
172,1,3,5,5,5,5,143,5,5
173,1,3,13,13,13,2,34,12,12
174,1,10,28,28,28,8,185,29,29
175,1,5,14,14,14,7,170,13,13
176,1,3,11,11,11,1,7,10,10
177,1,7,58,58,58,3,110,59,59
178,1,2,2,2,2,4,128,2,2
179,1,11,34,34,34,6,160,34,34
180,1,3,5,5,5,5,143,5,5
181,1,3,13,13,13,2,34,12,12
182,1,1,1,1,1,1,3,1,1
183,1,3,19,19,19,2,69,48,48
184,1,3,20,20,20,2,43,21,21
185,1,3,56,56,56,2,57,57,57
186,1,11,59,59,59,6,159,60,60
187,1,3,4,4,4,2,38,4,4
188,1,3,3,3,3,2,37,3,3
189,1,1,18,18,18,1,2,18,18
190,1,1,18,18,18,1,2,18,18
191,1,3,13,13,13,2,34,12,12
192,1,1,18,18,18,1,2,18,18
193,1,3,5,5,5,5,143,5,5
194,1,3,3,3,3,2,37,3,3
195,1,3,21,21,21,2,36,22,22
196,1,3,3,3,3,2,37,3,3
197,1,3,5,5,5,5,143,5,5
198,1,3,21,21,21,2,36,22,22
199,1,3,13,13,13,2,34,12,12
200,1,3,12,12,12,2,56,11,11
201,1,3,60,60,60,2,39,49,49
202,1,3,11,11,11,1,1,10,10
203,1,3,44,44,44,2,62,44,44
204,1,3,21,21,21,2,36,22,22
205,1,13,61,61,61,5,149,61,61
206,1,10,28,28,28,8,185,29,29
207,1,4,6,6,6,13,237,6,6
208,1,3,3,3,3,2,37,3,3
209,1,3,12,12,12,2,56,11,11
210,1,11,59,59,59,6,159,60,60
211,1,3,8,8,8,2,63,8,8
212,1,7,17,17,17,3,99,17,17
213,1,3,5,5,5,5,143,5,5
214,1,2,2,2,2,4,128,2,2
215,1,14,62,62,62,4,134,62,62
216,1,2,2,2,2,4,128,2,2
217,1,1,1,1,1,1,3,1,1
218,1,10,28,28,28,8,185,29,29
219,1,7,63,63,63,3,105,63,63
220,1,1,1,1,1,1,3,1,1
221,1,7,64,64,64,3,116,64,64
222,1,2,2,2,2,4,129,2,2
223,1,1,18,18,18,1,2,18,18
224,1,3,20,20,20,2,43,21,21
225,1,7,17,17,17,3,99,17,17
226,1,2,65,65,65,5,148,5,5
227,1,2,22,22,22,5,152,23,23
228,1,13,61,61,61,5,149,61,61
229,1,2,2,2,2,4,129,2,2
230,1,3,11,11,11,1,1,10,10
231,1,14,62,62,62,4,134,62,62
232,1,7,63,63,63,3,105,63,63
233,1,3,21,21,21,2,36,22,22
234,1,3,66,66,66,5,156,65,65
235,1,3,5,5,5,5,144,5,5
236,1,3,12,12,12,2,56,11,11
237,1,3,13,13,13,2,34,12,12
238,1,11,59,59,59,6,159,60,60
239,1,2,22,22,22,5,151,23,23
240,1,2,22,22,22,5,150,23,23
241,1,1,1,1,1,1,3,1,1
242,1,7,17,17,17,3,99,17,17
243,1,1,1,1,1,1,3,1,1
244,1,3,5,5,5,5,143,5,5
245,1,13,61,61,61,5,149,61,61
246,1,3,67,67,67,2,96,19,19
247,1,3,5,5,5,5,144,5,5
248,1,7,63,63,63,3,105,63,63
249,1,1,18,18,18,1,2,18,18
250,1,3,12,12,12,2,56,11,11
251,1,3,5,5,5,5,144,5,5
252,1,3,20,20,20,2,43,21,21
253,1,1,1,1,1,1,3,1,1
254,1,11,59,59,59,6,159,60,60
255,1,12,68,68,68,2,88,66,66
256,1,12,50,50,50,5,145,50,50
257,1,1,1,1,1,1,3,1,1
258,1,3,13,13,13,2,34,12,12
259,1,3,69,69,69,2,50,67,67
260,1,1,27,27,27,1,10,28,28
261,1,13,61,61,61,5,149,61,61
262,1,10,28,28,28,8,186,29,29
263,1,3,70,70,70,2,32,68,68
264,1,3,71,71,71,1,6,58,58
265,1,1,18,18,18,1,2,18,18
266,1,3,5,5,5,5,144,5,5
267,1,3,41,41,41,1,8,41,41
268,1,3,72,72,72,2,42,69,69
269,1,3,73,73,73,5,146,5,5
270,1,12,50,50,50,5,145,50,50
271,1,3,11,11,11,1,5,16,16
272,1,8,74,74,74,11,223,70,70
273,1,3,72,72,72,2,42,69,69
274,1,2,23,23,23,4,131,24,24
275,1,3,11,11,11,1,1,10,10
276,1,3,48,48,48,2,35,48,48
277,1,1,1,1,1,1,3,1,1
278,1,3,21,21,21,2,36,22,22
279,1,3,75,75,75,1,19,71,71
280,1,3,76,76,76,2,72,72,72
281,1,3,11,11,11,1,1,10,10
282,1,7,77,77,77,3,100,73,73
283,1,3,5,5,5,5,144,5,5
284,1,7,64,64,64,3,116,64,64
285,1,3,11,11,11,1,1,10,10
286,1,2,78,78,78,4,132,74,74
287,1,13,79,79,79,5,154,75,75
288,1,3,72,72,72,2,42,69,69
289,1,7,17,17,17,3,99,17,17
290,1,7,39,39,39,3,101,39,39
291,1,3,80,80,80,2,32,68,68
292,1,11,34,34,34,6,160,34,34
293,1,3,11,11,11,1,1,10,10
294,1,8,81,81,81,11,219,76,76
295,1,11,59,59,59,6,159,60,60
296,1,7,25,25,25,3,112,26,26
297,1,1,1,1,1,1,3,1,1
298,1,5,36,36,36,7,169,36,36
299,1,1,18,18,18,1,2,18,18
300,1,3,72,72,72,2,42,69,69
301,1,3,82,82,82,2,65,77,77
302,1,3,5,5,5,5,144,5,5
303,1,3,11,11,11,1,5,16,16
304,1,13,61,61,61,5,149,61,61
305,1,3,73,73,73,5,153,78,78
306,1,2,78,78,78,4,132,74,74
307,1,2,2,2,2,4,128,2,2
308,1,7,25,25,25,3,112,26,26
309,1,3,83,83,83,2,53,79,79
310,1,3,20,20,20,2,43,21,21
311,1,3,80,80,80,2,32,68,68
312,1,7,84,84,84,3,107,80,80
313,1,3,85,85,85,2,54,38,38
314,1,3,13,13,13,2,34,12,12
315,1,1,1,1,1,1,3,1,1
316,1,5,30,30,30,7,171,31,31
317,1,6,86,86,86,10,217,81,81
318,1,3,47,47,47,2,51,47,47
319,1,3,11,11,11,1,5,16,16
320,1,1,87,87,87,1,14,82,82
321,1,3,11,11,11,1,1,10,10
322,1,1,37,37,37,1,9,37,37
323,1,11,59,59,59,6,159,60,60
324,1,2,2,2,2,4,128,2,2
325,1,7,39,39,39,3,101,39,39
326,1,3,44,44,44,2,62,44,44
327,1,1,1,1,1,1,3,1,1
328,1,3,88,88,88,2,33,83,83
329,1,3,83,83,83,2,53,79,79
330,1,3,66,66,66,5,156,65,65
331,1,3,80,80,80,2,32,68,68
332,1,3,5,5,5,5,144,5,5
333,1,1,1,1,1,1,3,1,1
334,1,2,2,2,2,4,128,2,2
335,1,11,59,59,59,6,159,60,60
336,1,8,24,24,24,11,218,25,25
337,1,3,89,89,89,1,4,84,84
338,1,3,71,71,71,1,5,58,58
339,1,3,46,46,46,2,64,46,46
340,1,3,29,29,29,2,86,30,30
341,1,11,59,59,59,6,159,60,60
342,1,3,11,11,11,1,1,10,10
343,1,1,37,37,37,1,9,37,37
344,1,2,78,78,78,4,132,74,74
345,1,3,11,11,11,1,5,16,16
346,1,3,90,90,90,1,7,85,85
347,1,1,37,37,37,1,9,37,37
348,1,1,18,18,18,1,2,18,18
349,1,1,91,91,91,1,21,86,86
350,1,3,44,44,44,2,62,44,44
351,1,3,89,89,89,1,4,84,84
352,1,4,92,92,92,13,239,87,87
353,1,5,30,30,30,7,171,31,31
354,1,3,93,93,93,2,45,88,88
355,1,3,5,5,5,5,144,5,5
356,1,3,94,94,94,2,78,89,89
357,1,3,95,95,95,5,153,90,90
358,1,1,18,18,18,1,2,18,18
359,1,1,18,18,18,1,2,18,18
360,1,1,87,87,87,1,14,82,82
361,1,3,73,73,73,5,146,78,78
362,1,1,18,18,18,1,2,18,18
363,1,2,2,2,2,4,128,2,2
364,1,13,79,79,79,5,154,75,75
365,1,5,96,96,96,7,172,91,91
366,1,7,58,58,58,3,115,59,59
367,1,1,37,37,37,1,9,37,37
368,1,3,11,11,11,1,1,10,10
369,1,6,86,86,86,10,217,81,81
370,1,4,92,92,92,13,236,87,87
371,1,3,82,82,82,2,65,77,77
372,1,5,14,14,14,7,171,31,31
373,1,3,72,72,72,2,42,69,69
374,1,3,97,97,97,2,41,92,92
375,1,3,5,5,5,5,143,5,5
376,1,1,18,18,18,1,2,18,18
377,1,3,20,20,20,2,43,21,21
378,1,2,98,98,98,11,220,93,93
379,1,10,28,28,28,8,185,29,29
380,1,5,36,36,36,7,169,36,36
381,1,3,5,5,5,5,143,5,5
382,1,5,99,99,99,7,177,94,94
383,1,3,100,100,100,1,15,71,71
384,1,4,92,92,92,13,236,87,87
385,1,3,100,100,100,1,15,71,71
386,1,2,101,101,101,4,136,95,95
387,1,3,41,41,41,1,8,41,41
388,1,1,87,87,87,1,14,82,82
389,1,3,4,4,4,2,38,4,4
390,1,3,80,80,80,2,32,68,68
391,1,3,102,102,102,2,35,57,57
392,1,3,103,103,103,2,67,96,96
393,1,3,53,53,53,2,32,97,97
394,1,1,18,18,18,1,2,18,18
395,1,1,18,18,18,1,2,18,18
396,1,3,20,20,20,2,43,21,21
397,1,5,96,96,96,7,172,91,91
398,1,3,104,104,104,2,44,98,98
399,1,2,23,23,23,4,131,24,24
400,1,3,5,5,5,5,143,5,5
401,1,3,5,5,5,5,144,5,5
402,1,3,20,20,20,2,43,49,49
403,1,1,51,51,51,1,23,52,52
404,1,2,101,101,101,4,136,95,95
405,1,3,73,73,73,5,155,78,78
406,1,12,68,68,68,2,89,66,66
407,1,10,28,28,28,8,185,29,29
408,1,8,105,105,105,11,222,99,99
409,1,7,58,58,58,3,115,59,59
410,1,3,75,75,75,1,15,71,71
411,1,3,83,83,83,2,53,40,40
412,1,3,73,73,73,5,148,40,40
413,1,3,11,11,11,1,12,51,51
414,1,6,106,106,106,10,212,100,100
415,1,1,1,1,1,1,3,1,1
416,1,2,78,78,78,4,132,74,74
417,1,3,97,97,97,2,41,92,92
418,1,2,2,2,2,4,129,2,2
419,1,3,80,80,80,2,32,68,68
420,1,3,20,20,20,2,43,21,21
421,1,2,23,23,23,4,131,24,24
422,1,3,89,89,89,1,4,84,84
423,1,3,100,100,100,1,15,71,71
424,1,7,45,45,45,3,102,45,45
425,1,3,20,20,20,2,43,21,21
426,1,1,18,18,18,1,2,18,18
427,1,1,1,1,1,1,3,1,1
428,1,3,11,11,11,1,5,16,16
429,1,3,73,73,73,5,148,40,40
430,1,1,1,1,1,1,3,1,1
431,1,3,103,103,103,2,51,96,96
432,1,3,40,40,40,5,147,40,40
433,1,10,28,28,28,8,185,29,29
434,1,3,20,20,20,2,43,21,21
435,1,6,15,15,15,10,209,14,14
436,1,7,63,63,63,3,105,63,63
437,1,12,68,68,68,2,88,66,66
438,1,14,62,62,62,4,134,62,62
439,1,3,13,13,13,2,34,12,12
440,1,7,58,58,58,3,115,59,59
441,1,2,101,101,101,4,136,95,95
442,1,3,107,107,107,2,47,101,101
443,1,7,108,108,108,3,104,45,45
444,1,2,22,22,22,5,151,23,23
445,1,3,11,11,11,1,13,55,55
446,1,15,109,109,109,12,229,102,102
447,1,3,13,13,13,2,34,12,12
448,1,1,110,110,110,1,18,103,103
449,1,6,106,106,106,10,215,100,100
450,1,3,69,69,69,2,50,67,67
451,1,7,58,58,58,3,110,59,59
452,1,3,111,111,111,1,29,104,104
453,1,1,1,1,1,1,3,1,1
454,1,5,14,14,14,7,170,13,13
455,1,2,101,101,101,4,136,95,95
456,1,11,34,34,34,6,160,34,34
457,1,1,18,18,18,1,2,18,18
458,1,11,34,34,34,6,160,34,34
459,1,1,91,91,91,1,21,86,86
460,1,7,63,63,63,3,105,63,63
461,1,3,13,13,13,2,34,12,12
462,1,1,18,18,18,1,2,18,18
463,1,1,1,1,1,1,3,1,1
464,1,3,47,47,47,2,32,47,47
465,1,2,23,23,23,4,131,24,24
466,1,1,18,18,18,1,2,18,18
467,1,5,14,14,14,7,170,13,13
468,1,7,58,58,58,3,110,59,59
469,1,2,2,2,2,4,128,2,2
470,1,2,78,78,78,4,132,74,74
471,1,6,112,112,112,10,210,105,105
472,1,3,19,19,19,2,69,19,19
473,1,1,18,18,18,1,2,18,18
474,1,7,25,25,25,1,13,55,55
475,1,3,54,54,54,1,13,55,55
476,1,3,20,20,20,2,54,21,21
477,1,13,113,113,113,9,196,106,106
478,1,3,73,73,73,5,155,78,78
479,1,3,114,114,114,2,48,4,4
480,1,13,61,61,61,5,149,61,61
481,1,11,59,59,59,6,159,60,60
482,1,2,115,115,115,4,140,107,107
483,1,3,116,116,116,2,95,108,108
484,1,3,46,46,46,2,64,46,46
485,1,3,54,54,54,1,13,55,55
486,1,7,108,108,108,3,120,45,45
487,1,3,5,5,5,5,143,5,5
488,1,1,1,1,1,1,3,1,1
489,1,3,54,54,54,1,13,55,55
490,1,3,111,111,111,1,29,104,104
491,1,3,49,49,49,9,193,49,49
492,1,3,11,11,11,1,5,16,16
493,1,6,112,112,112,10,210,105,105
494,1,3,8,8,8,2,63,8,8
495,1,5,36,36,36,7,169,36,36
496,1,3,103,103,103,2,67,96,96
497,1,2,31,31,31,4,133,32,32
498,1,2,2,2,2,4,128,2,2
499,1,2,65,65,65,4,135,109,109
500,1,7,117,117,117,3,109,110,110
501,1,10,28,28,28,8,185,29,29
502,1,3,11,11,11,1,1,10,10
503,1,1,1,1,1,1,3,1,1
504,1,3,116,116,116,2,95,108,108
505,1,5,99,99,99,7,177,111,111
506,1,3,72,72,72,2,42,69,69
507,1,7,117,117,117,3,109,110,110
508,1,3,73,73,73,5,148,40,40
509,1,3,89,89,89,1,4,84,84
510,1,3,69,69,69,2,66,108,108
511,1,1,1,1,1,1,3,1,1
512,1,2,10,10,10,4,130,20,20
513,1,6,15,15,15,10,211,14,14
514,1,3,21,21,21,2,36,22,22
515,1,9,118,118,118,9,201,112,112
516,1,7,63,63,63,3,105,63,63
517,1,7,39,39,39,3,101,39,39
518,1,3,89,89,89,1,4,84,84
519,1,1,1,1,1,1,3,1,1
520,1,3,29,29,29,2,86,30,30
521,1,3,5,5,5,5,143,5,5
522,1,3,119,119,119,2,66,108,108
523,1,3,102,102,102,2,53,57,57
524,1,3,94,94,94,2,78,89,89
525,1,7,120,120,120,3,106,53,53
526,1,7,121,121,121,3,102,113,113
527,1,1,122,122,122,1,26,1,1
528,1,6,106,106,106,10,212,100,100
529,1,3,72,72,72,2,42,69,69
530,1,10,123,123,123,8,188,29,29
531,1,5,14,14,14,7,170,13,13
532,1,5,16,16,16,7,180,15,15
533,1,3,95,95,95,5,153,90,90
534,1,1,1,1,1,1,3,1,1
535,1,7,108,108,108,3,120,45,45
536,1,3,73,73,73,5,148,40,40
537,1,1,1,1,1,1,3,1,1
538,1,1,1,1,1,1,3,1,1
539,1,6,124,124,124,10,207,114,114
540,1,2,23,23,23,4,131,24,24
541,1,7,125,125,125,3,107,73,73
542,1,3,89,89,89,1,4,84,84
543,1,9,118,118,118,9,201,112,112
544,1,1,18,18,18,1,2,18,18
545,1,3,126,126,126,2,55,115,115
546,1,2,2,2,2,4,129,2,2
547,1,7,39,39,39,3,101,39,39
548,1,3,76,76,76,2,72,72,72
549,1,3,66,66,66,5,156,65,65
550,1,1,1,1,1,1,3,1,1
551,1,2,65,65,65,4,135,109,109
552,1,8,105,105,105,11,222,99,99
553,1,1,127,127,127,1,30,116,116
554,1,1,18,18,18,1,2,117,117
555,1,3,71,71,71,1,6,118,118
556,1,15,128,128,128,12,233,102,102
557,1,1,55,55,55,1,25,56,56
558,1,2,22,22,22,5,150,23,23
559,1,1,1,1,1,1,3,1,1
560,1,6,106,106,106,10,212,100,100
561,1,2,98,98,98,11,220,93,93
562,1,13,61,61,61,5,149,61,61
563,1,5,129,129,129,7,176,94,94
564,1,7,120,120,120,3,106,53,53
565,1,7,117,117,117,3,118,110,110
566,1,2,65,65,65,4,135,109,109
567,1,10,28,28,28,8,189,29,29
568,1,3,60,60,60,2,39,49,49
569,1,12,130,130,130,2,87,79,79
570,1,3,60,60,60,2,39,49,49
571,1,3,57,57,57,1,31,58,58
572,1,1,1,1,1,1,3,1,1
573,1,1,32,32,32,1,22,33,33
574,1,1,87,87,87,1,14,82,82
575,1,8,24,24,24,11,218,25,25
576,1,6,106,106,106,10,215,100,100
577,1,12,50,50,50,5,145,50,50
578,1,3,103,103,103,2,67,96,96
579,1,2,23,23,23,4,131,49,49
580,1,7,84,84,84,3,108,80,80
581,1,1,18,18,18,1,2,18,18
582,1,2,10,10,10,4,130,20,20
583,1,3,38,38,38,1,2,38,38
584,1,6,106,106,106,10,212,100,100
585,1,3,72,72,72,2,42,69,69
586,1,11,59,59,59,6,159,60,60
587,1,7,77,77,77,3,100,73,73
588,1,5,14,14,14,7,170,13,13
589,1,7,39,39,39,3,101,39,39
590,1,10,33,33,33,8,187,20,20
591,1,10,28,28,28,8,185,29,29
592,1,7,39,39,39,3,101,39,39
593,1,1,1,1,1,1,3,1,1
594,1,5,14,14,14,7,170,13,13
595,1,6,106,106,106,10,215,100,100
596,1,3,89,89,89,1,4,84,84
597,1,7,45,45,45,3,102,45,45
598,1,3,88,88,88,2,33,83,83
599,1,1,1,1,1,1,3,1,1
600,1,6,124,124,124,10,207,114,114
601,1,6,15,15,15,10,209,14,14
602,1,7,131,131,131,2,43,21,21
603,1,3,60,60,60,2,39,49,49
604,1,6,35,35,35,10,214,35,35
605,1,1,18,18,18,1,2,18,18
606,1,7,39,39,39,3,101,39,39
607,1,2,31,31,31,4,133,32,32
608,1,2,31,31,31,4,133,32,32
609,1,11,34,34,34,6,160,34,34
610,1,3,5,5,5,5,144,5,5
611,1,1,18,18,18,1,2,18,18
612,1,7,132,132,132,9,204,119,119
613,1,3,133,133,133,2,41,88,88
614,1,1,32,32,32,1,22,33,33
615,1,5,30,30,30,7,184,31,31
616,1,1,1,1,1,1,3,1,1
617,1,1,1,1,1,1,3,1,1
618,1,3,11,11,11,1,1,10,10
619,1,5,14,14,14,7,170,13,13
620,1,7,39,39,39,3,101,39,39
621,1,6,15,15,15,10,209,14,14
622,1,11,59,59,59,6,159,60,60
623,1,15,134,134,134,12,230,120,120
624,1,8,135,135,135,2,81,121,121
625,1,7,136,136,136,3,121,122,122
626,1,3,137,137,137,2,91,123,123
627,1,3,107,107,107,2,47,101,101
628,1,3,46,46,46,2,64,46,46
629,1,7,120,120,120,3,106,53,53
630,1,3,138,138,138,2,83,122,122
631,1,11,139,139,139,6,161,124,124
632,1,15,109,109,109,12,229,102,102
633,1,8,135,135,135,2,81,121,121
634,1,3,11,11,11,1,1,10,10
635,1,3,11,11,11,1,1,10,10
636,1,7,58,58,58,9,193,59,59
637,1,3,11,11,11,1,1,10,10
638,1,3,11,11,11,1,1,10,10
639,1,3,11,11,11,1,1,10,10
640,1,3,11,11,11,1,1,10,10
641,1,3,11,11,11,1,1,10,10
642,1,3,11,11,11,1,1,10,10
643,1,3,11,11,11,1,1,10,10
644,1,3,11,11,11,1,1,10,10
645,1,3,11,11,11,1,1,10,10
646,1,7,77,77,77,3,103,73,73
647,1,3,11,11,11,1,1,10,10
648,1,3,11,11,11,1,1,10,10
649,1,3,11,11,11,1,1,10,10
650,1,3,11,11,11,1,1,10,10
651,1,3,11,11,11,1,1,10,10
652,1,3,11,11,11,1,1,10,10
653,1,3,11,11,11,1,1,10,10
654,1,3,11,11,11,1,1,10,10
655,1,3,11,11,11,1,1,10,10
656,1,3,11,11,11,1,1,10,10
657,1,3,11,11,11,1,1,10,10
658,1,3,11,11,11,1,1,10,10
659,1,3,11,11,11,1,1,10,10
660,1,3,11,11,11,1,1,10,10
661,1,3,11,11,11,1,1,10,10
662,1,3,69,69,69,2,50,67,67
663,1,7,64,64,64,3,116,64,64
664,1,3,11,11,11,1,1,10,10
665,1,3,11,11,11,1,1,10,10
666,1,3,11,11,11,1,1,10,10
667,1,7,136,136,136,3,121,125,125
668,1,14,140,140,140,4,137,126,126
669,1,3,66,66,66,5,156,65,65
670,1,3,11,11,11,1,1,10,10
671,1,3,11,11,11,1,1,10,10
672,1,3,11,11,11,1,1,10,10
673,1,3,90,90,90,1,7,85,85
674,1,3,11,11,11,1,1,10,10
675,1,3,11,11,11,1,1,10,10
676,1,3,141,141,141,2,61,38,38
677,1,3,11,11,11,1,1,10,10
678,1,4,6,6,6,13,237,6,6
679,1,3,11,11,11,1,1,10,10
680,1,3,60,60,60,2,39,49,49
681,1,15,134,134,134,12,230,120,120
682,1,3,11,11,11,1,1,10,10
683,1,3,11,11,11,1,1,10,10
684,1,3,60,60,60,2,48,49,49
685,1,9,26,26,26,9,192,27,27
686,1,3,11,11,11,1,1,10,10
687,1,15,134,134,134,12,230,120,120
688,1,3,4,4,4,2,38,4,4
689,1,3,11,11,11,1,1,10,10
690,1,3,70,70,70,2,40,127,127
691,1,3,46,46,46,2,64,46,46
692,1,3,3,3,3,2,37,3,3
