"node_id","membership_modificado","final_module"
342,11,11
343,37,37
344,78,78
345,11,11
346,90,90
347,37,37
348,18,18
349,91,91
350,44,44
351,89,89
352,92,92
353,30,30
354,93,93
355,5,5
356,94,94
357,95,95
358,18,18
359,18,18
360,87,87
361,73,73
362,18,18
363,2,2
364,79,79
365,96,96
366,58,58
367,37,37
368,11,11
369,86,86
370,92,92
371,82,82
372,14,14
373,72,72
374,97,97
375,5,5
376,18,18
377,20,20
378,98,98
379,28,28
380,36,36
381,5,5
382,99,99
383,100,100
384,92,92
385,100,100
386,101,101
387,41,41
388,87,87
389,4,4
390,80,80
391,102,102
392,103,103
393,53,53
394,18,18
395,18,18
396,20,20
397,96,96
398,104,104
399,23,23
400,5,5
401,5,5
402,20,20
403,51,51
404,101,101
405,73,73
406,68,68
407,28,28
408,105,105
409,58,58
410,75,75
411,83,83
412,73,73
413,11,11
414,106,106
415,1,1
416,78,78
417,97,97
418,2,2
419,80,80
420,20,20
421,23,23
422,89,89
423,100,100
424,45,45
425,20,20
426,18,18
427,1,1
428,11,11
429,73,73
430,1,1
431,103,103
432,40,40
433,28,28
434,20,20
435,15,15
436,63,63
437,68,68
438,62,62
439,13,13
440,58,58
441,101,101
442,107,107
443,108,108
444,22,22
445,11,11
446,109,109
447,13,13
448,110,110
449,106,106
450,69,69
451,58,58
452,111,111
453,1,1
454,14,14
455,101,101
456,34,34
457,18,18
458,34,34
459,91,91
460,63,63
461,13,13
462,18,18
463,1,1
464,47,47
465,23,23
466,18,18
467,14,14
468,58,58
469,2,2
470,78,78
471,112,112
472,19,19
473,18,18
474,25,25
475,54,54
476,20,20
477,113,113
478,73,73
479,114,114
480,61,61
481,59,59
482,115,115
483,116,116
484,46,46
485,54,54
486,108,108
487,5,5
488,1,1
489,54,54
490,111,111
491,49,49
492,11,11
493,112,112
494,8,8
495,36,36
496,103,103
497,31,31
498,2,2
499,65,65
500,117,117
501,28,28
502,11,11
503,1,1
504,116,116
505,99,99
506,72,72
507,117,117
508,73,73
509,89,89
510,69,69
511,1,1
512,10,10
513,15,15
514,21,21
515,118,118
516,63,63
517,39,39
518,89,89
519,1,1
520,29,29
521,5,5
522,119,119
523,102,102
524,94,94
525,120,120
526,121,121
527,122,122
528,106,106
529,72,72
530,123,123
531,14,14
532,16,16
533,95,95
534,1,1
535,108,108
536,73,73
537,1,1
538,1,1
539,124,124
540,23,23
541,125,125
542,89,89
543,118,118
544,18,18
545,126,126
546,2,2
547,39,39
548,76,76
549,66,66
550,1,1
551,65,65
552,105,105
553,127,127
554,18,18
555,71,71
556,128,128
557,55,55
558,22,22
559,1,1
560,106,106
561,98,98
562,61,61
563,129,129
564,120,120
565,117,117
566,65,65
567,28,28
568,60,60
569,130,130
570,60,60
571,57,57
572,1,1
573,32,32
574,87,87
575,24,24
576,106,106
577,50,50
578,103,103
579,23,23
580,84,84
581,18,18
582,10,10
583,38,38
584,106,106
585,72,72
586,59,59
587,77,77
588,14,14
589,39,39
590,33,33
591,28,28
592,39,39
593,1,1
594,14,14
595,106,106
596,89,89
597,45,45
598,88,88
599,1,1
600,124,124
601,15,15
602,131,131
603,60,60
604,35,35
605,18,18
606,39,39
607,31,31
608,31,31
609,34,34
610,5,5
611,18,18
612,132,132
613,133,133
614,32,32
615,30,30
616,1,1
617,1,1
618,11,11
619,14,14
620,39,39
621,15,15
622,59,59
623,134,134
624,135,135
625,136,136
626,137,137
627,107,107
628,46,46
629,120,120
630,138,138
631,139,139
632,109,109
633,135,135
634,11,11
635,11,11
636,58,58
637,11,11
638,11,11
639,11,11
640,11,11
641,11,11
642,11,11
643,11,11
644,11,11
645,11,11
646,77,77
647,11,11
648,11,11
649,11,11
650,11,11
651,11,11
652,11,11
653,11,11
654,11,11
655,11,11
656,11,11
657,11,11
658,11,11
659,11,11
660,11,11
661,11,11
662,69,69
663,64,64
664,11,11
665,11,11
666,11,11
667,136,136
668,140,140
669,66,66
670,11,11
671,11,11
672,11,11
673,90,90
674,11,11
675,11,11
676,141,141
677,11,11
678,6,6
679,11,11
680,60,60
681,134,134
682,11,11
683,11,11
684,60,60
685,26,26
686,11,11
687,134,134
688,4,4
689,11,11
690,70,70
691,46,46
692,3,3
693,142,142
694,98,98
695,139,139
696,11,11
697,11,11
698,143,143
699,3,3
700,43,43
701,11,11
702,143,143
703,47,47
704,56,56
705,48,48
706,48,48
707,48,48
708,3,3
709,48,48
710,144,144
711,94,94
712,11,11
713,138,138
714,103,103
715,3,3
716,145,145
717,3,3
718,48,48
719,80,80
720,146,146
721,83,83
722,137,137
723,70,70
724,70,70
725,60,60
726,48,48
727,11,11
728,47,47
729,123,123
730,71,71
731,4,4
732,48,48
733,64,64
734,53,53
735,53,53
736,102,102
737,147,147
738,38,38
739,113,113
740,53,53
741,60,60
742,99,99
743,148,148
744,82,82
745,53,53
746,28,28
747,72,72
748,104,104
749,75,75
750,60,60
751,28,28
752,47,47
753,149,149
754,70,70
755,21,21
756,104,104
757,142,142
758,60,60
759,3,3
760,47,47
761,3,3
762,150,150
763,151,151
764,2,2
765,3,3
766,152,152
767,3,3
768,8,8
769,153,153
770,60,60
771,93,93
772,28,28
773,152,152
774,3,3
775,93,93
776,28,28
777,152,152
778,152,152
779,28,28
780,104,104
781,11,11
782,56,56
783,137,137
784,11,11
785,27,27
786,1,1
787,82,82
788,126,126
789,88,88
790,11,11
791,11,11
792,2,2
793,154,154
794,11,11
795,16,16
796,103,103
797,49,49
798,89,89
799,11,11
800,60,60
801,88,88
802,2,2
803,155,155
804,45,45
805,41,41
806,118,118
807,93,93
808,156,156
809,154,154
810,3,3
811,60,60
812,156,156
813,144,144
814,28,28
815,77,77
816,48,48
817,98,98
818,43,43
819,90,90
820,82,82
821,28,28
822,157,157
823,155,155
824,3,3
825,158,158
826,71,71
827,54,54
828,150,150
829,119,119
830,158,158
831,85,85
832,126,126
833,88,88
834,124,124
835,11,11
836,77,77
837,80,80
838,53,53
839,148,148
840,8,8
841,43,43
842,11,11
843,159,159
844,60,60
845,150,150
846,142,142
847,27,27
848,133,133
849,4,4
850,2,2
851,160,160
852,44,44
853,114,114
854,8,8
855,8,8
856,161,161
857,114,114
858,102,102
859,21,21
860,3,3
861,22,22
862,3,3
863,60,60
864,162,162
865,102,102
866,11,11
867,41,41
868,80,80
869,11,11
870,46,46
871,50,50
872,11,11
873,53,53
874,47,47
875,60,60
876,88,88
877,11,11
878,47,47
879,80,80
880,47,47
881,41,41
882,163,163
883,164,164
884,144,144
885,11,11
886,21,21
887,3,3
888,47,47
889,53,53
890,11,11
891,53,53
892,93,93
893,43,43
894,107,107
895,80,80
896,60,60
897,126,126
898,102,102
899,22,22
900,80,80
901,72,72
902,88,88
903,11,11
904,113,113
905,34,34
906,2,2
907,148,148
908,47,47
909,152,152
910,53,53
911,37,37
912,2,2
913,22,22
914,126,126
915,11,11
916,22,22
917,10,10
918,102,102
919,77,77
920,11,11
921,72,72
922,80,80
923,21,21
924,48,48
925,109,109
926,11,11
927,11,11
928,20,20
929,158,158
930,11,11
931,150,150
932,93,93
933,21,21
934,165,165
935,80,80
936,150,150
937,88,88
938,114,114
939,26,26
940,21,21
941,11,11
942,60,60
943,165,165
944,166,166
945,60,60
946,90,90
947,150,150
948,134,134
949,40,40
950,1,1
951,2,2
952,165,165
953,163,163
954,11,11
955,163,163
956,83,83
957,2,2
958,88,88
959,21,21
960,75,75
961,90,90
962,158,158
963,134,134
964,11,11
965,70,70
966,167,167
967,90,90
968,163,163
969,88,88
970,80,80
971,82,82
972,18,18
973,129,129
974,168,168
975,60,60
976,148,148
977,80,80
978,169,169
979,170,170
980,11,11
981,144,144
982,82,82
983,50,50
984,70,70
985,171,171
986,172,172
987,2,2
988,4,4
989,66,66
990,173,173
991,60,60
992,38,38
993,45,45
994,18,18
995,104,104
996,44,44
997,90,90
998,114,114
999,79,79
1000,71,71
1001,103,103
1002,44,44
1003,174,174
1004,2,2
1005,175,175
1006,24,24
1007,47,47
1008,176,176
1009,69,69
1010,11,11
1011,104,104
1012,121,121
1013,60,60
1014,121,121
1015,58,58
1016,173,173
1017,1,1
1018,109,109
1019,148,148
1020,174,174
1021,113,113
1022,104,104
1023,71,71
1024,76,76
1025,104,104
1026,104,104
1027,177,177
1028,44,44
1029,157,157
1030,150,150
1031,163,163
1032,121,121
1033,12,12
1034,155,155
1035,47,47
1036,13,13
1037,173,173
1038,77,77
1039,168,168
1040,77,77
1041,4,4
1042,126,126
1043,11,11
1044,47,47
1045,59,59
1046,93,93
1047,80,80
1048,11,11
1049,71,71
1050,103,103
1051,102,102
1052,124,124
1053,28,28
1054,88,88
1055,104,104
1056,11,11
1057,123,123
1058,59,59
1059,103,103
1060,2,2
1061,80,80
1062,175,175
1063,50,50
1064,168,168
1065,80,80
1066,113,113
1067,114,114
1068,114,114
1069,159,159
1070,123,123
1071,94,94
1072,59,59
1073,59,59
1074,34,34
1075,2,2
1076,10,10
1077,38,38
1078,121,121
1079,60,60
1080,47,47
1081,114,114
1082,13,13
1083,2,2
1084,147,147
1085,73,73
1086,124,124
1087,104,104
1088,2,2
1089,80,80
1090,47,47
1091,144,144
1092,119,119
1093,178,178
1094,152,152
1095,4,4
1096,96,96
1097,59,59
1098,154,154
1099,60,60
1100,21,21
1101,43,43
1102,154,154
1103,179,179
1104,112,112
1105,52,52
1106,143,143
1107,114,114
1108,73,73
1109,38,38
1110,80,80
1111,1,1
1112,180,180
1113,178,178
1114,60,60
1115,11,11
1116,123,123
1117,8,8
1118,121,121
1119,143,143
1120,2,2
1121,13,13
1122,4,4
1123,48,48
1124,2,2
1125,28,28
1126,134,134
1127,59,59
1128,2,2
1129,2,2
1130,163,163
1131,11,11
1132,2,2
1133,71,71
1134,4,4
1135,60,60
1136,143,143
1137,71,71
1138,174,174
1139,44,44
1140,181,181
1141,168,168
1142,59,59
1143,48,48
1144,110,110
1145,60,60
1146,182,182
1147,126,126
1148,16,16
1149,80,80
1150,13,13
1151,119,119
1152,24,24
1153,12,12
1154,21,21
1155,53,53
1156,20,20
1157,53,53
1158,43,43
1159,77,77
1160,72,72
1161,50,50
1162,16,16
1163,146,146
1164,168,168
1165,103,103
1166,11,11
1167,34,34
1168,128,128
1169,70,70
1170,104,104
1171,1,1
1172,71,71
1173,71,71
1174,183,183
1175,104,104
1176,2,2
1177,168,168
1178,123,123
1179,21,21
1180,83,83
1181,71,71
1182,11,11
1183,21,21
1184,75,75
1185,5,5
1186,143,143
1187,70,70
1188,50,50
1189,143,143
1190,59,59
1191,21,21
1192,103,103
1193,11,11
1194,184,184
1195,2,2
1196,34,34
1197,4,4
1198,53,53
1199,42,42
1200,143,143
1201,47,47
1202,150,150
1203,11,11
1204,60,60
1205,58,58
1206,50,50
1207,103,103
1208,44,44
1209,46,46
1210,11,11
1211,28,28
1212,143,143
1213,39,39
1214,185,185
1215,140,140
1216,186,186
1217,94,94
1218,3,3
1219,38,38
1220,155,155
1221,11,11
1222,119,119
1223,2,2
1224,1,1
1225,59,59
1226,182,182
1227,4,4
1228,2,2
1229,11,11
1230,13,13
1231,93,93
1232,85,85
1233,80,80
1234,89,89
1235,177,177
1236,134,134
1237,121,121
1238,153,153
1239,156,156
1240,187,187
1241,50,50
1242,69,69
1243,119,119
1244,88,88
1245,93,93
1246,126,126
1247,18,18
1248,70,70
1249,126,126
1250,3,3
1251,24,24
1252,38,38
1253,41,41
1254,184,184
1255,153,153
1256,49,49
1257,153,153
1258,179,179
1259,4,4
1260,106,106
1261,63,63
1262,11,11
1263,188,188
1264,107,107
1265,89,89
1266,2,2
1267,123,123
1268,18,18
1269,179,179
1270,47,47
1271,70,70
1272,71,71
1273,87,87
1274,58,58
1275,155,155
1276,93,93
1277,61,61
1278,179,179
1279,78,78
1280,138,138
1281,184,184
1282,155,155
1283,89,89
1284,3,3
1285,11,11
1286,88,88
1287,69,69
1288,80,80
1289,113,113
1290,42,42
1291,60,60
1292,119,119
1293,59,59
1294,133,133
1295,60,60
1296,10,10
1297,186,186
1298,20,20
1299,60,60
1300,38,38
1301,11,11
1302,136,136
1303,48,48
1304,156,156
1305,28,28
1306,69,69
1307,80,80
1308,168,168
1309,80,80
1310,79,79
1311,59,59
1312,178,178
1313,88,88
1314,121,121
1315,176,176
1316,59,59
1317,143,143
1318,167,167
1319,42,42
1320,77,77
1321,59,59
1322,18,18
1323,89,89
1324,41,41
1325,20,20
1326,11,11
1327,63,63
1328,178,178
1329,119,119
1330,73,73
1331,21,21
1332,167,167
1333,43,43
1334,103,103
1335,153,153
1336,155,155
1337,4,4
1338,182,182
1339,105,105
1340,80,80
1341,2,2
1342,4,4
1343,179,179
1344,11,11
1345,139,139
1346,88,88
1347,142,142
1348,63,63
1349,107,107
1350,38,38
1351,88,88
1352,120,120
1353,159,159
1354,4,4
1355,168,168
1356,69,69
1357,78,78
1358,178,178
1359,46,46
1360,80,80
1361,72,72
1362,33,33
1363,88,88
1364,182,182
1365,60,60
1366,189,189
1367,153,153
1368,43,43
1369,93,93
1370,73,73
1371,140,140
1372,109,109
1373,26,26
1374,89,89
1375,184,184
1376,37,37
1377,11,11
1378,114,114
1379,76,76
1380,60,60
1381,178,178
1382,190,190
1383,188,188
1384,69,69
1385,104,104
1386,138,138
1387,19,19
1388,47,47
1389,177,177
1390,182,182
1391,191,191
1392,88,88
1393,147,147
1394,78,78
1395,34,34
1396,102,102
1397,13,13
1398,88,88
1399,4,4
1400,2,2
1401,167,167
1402,50,50
1403,126,126
1404,12,12
1405,21,21
1406,181,181
1407,124,124
1408,187,187
1409,38,38
1410,119,119
1411,12,12
1412,126,126
1413,80,80
1414,177,177
1415,187,187
1416,48,48
1417,71,71
1418,192,192
1419,56,56
1420,12,12
1421,44,44
1422,4,4
1423,70,70
1424,72,72
1425,48,48
1426,179,179
1427,191,191
1428,72,72
1429,88,88
1430,193,193
1431,83,83
1432,38,38
1433,97,97
1434,93,93
1435,88,88
1436,41,41
1437,119,119
1438,153,153
1439,38,38
1440,19,19
1441,38,38
1442,114,114
1443,47,47
1444,133,133
1445,88,88
1446,178,178
1447,193,193
1448,83,83
1449,80,80
1450,107,107
1451,102,102
1452,126,126
1453,178,178
1454,102,102
1455,168,168
1456,38,38
1457,93,93
1458,80,80
1459,102,102
1460,93,93
1461,83,83
1462,175,175
1463,41,41
1464,69,69
1465,93,93
1466,152,152
1467,104,104
1468,119,119
1469,114,114
1470,3,3
1471,177,177
1472,17,17
1473,85,85
1474,194,194
1475,70,70
1476,182,182
1477,169,169
1478,182,182
1479,11,11
1480,152,152
1481,80,80
1482,80,80
1483,47,47
1484,182,182
1485,44,44
1486,88,88
1487,47,47
1488,13,13
1489,168,168
1490,1,1
1491,102,102
1492,80,80
1493,71,71
1494,133,133
1495,107,107
1496,70,70
1497,85,85
1498,119,119
1499,126,126
1500,133,133
1501,177,177
1502,44,44
1503,107,107
1504,191,191
1505,88,88
1506,11,11
1507,38,38
1508,133,133
1509,194,194
1510,72,72
1511,71,71
1512,80,80
1513,119,119
1514,143,143
1515,119,119
1516,82,82
1517,83,83
1518,179,179
1519,93,93
1520,193,193
1521,182,182
1522,53,53
1523,194,194
1524,194,194
1525,19,19
1526,88,88
1527,102,102
1528,181,181
1529,194,194
1530,47,47
1531,102,102
1532,38,38
1533,53,53
1534,48,48
1535,85,85
1536,4,4
1537,102,102
1538,193,193
1539,53,53
1540,48,48
1541,11,11
1542,11,11
1543,11,11
1544,177,177
1545,119,119
1546,80,80
1547,88,88
1548,187,187
1549,192,192
1550,195,195
1551,40,40
1552,119,119
1553,93,93
1554,47,47
1555,80,80
1556,3,3
1557,177,177
1558,3,3
1559,102,102
1560,187,187
1561,19,19
1562,41,41
1563,88,88
1564,80,80
1565,177,177
1566,169,169
1567,133,133
1568,107,107
1569,53,53
1570,187,187
1571,114,114
1572,80,80
1573,11,11
1574,8,8
1575,193,193
1576,44,44
1577,103,103
1578,107,107
1579,66,66
1580,44,44
1581,182,182
1582,44,44
1583,13,13
1584,71,71
1585,38,38
1586,46,46
1587,194,194
1588,38,38
1589,104,104
1590,191,191
1591,53,53
1592,152,152
1593,191,191
1594,107,107
1595,20,20
1596,40,40
1597,40,40
1598,47,47
1599,19,19
1600,38,38
1601,48,48
1602,72,72
1603,125,125
1604,29,29
1605,33,33
1606,52,52
1607,129,129
1608,31,31
1609,33,33
1610,17,17
1611,65,65
1612,59,59
1613,117,117
1614,196,196
1615,47,47
1616,197,197
1617,195,195
1618,120,120
1619,77,77
1620,84,84
1621,47,47
1622,136,136
1623,17,17
1624,74,74
1625,124,124
1626,108,108
1627,198,198
1628,52,52
1629,36,36
1630,84,84
1631,124,124
1632,190,190
1633,199,199
1634,39,39
1635,109,109
1636,80,80
1637,15,15
1638,188,188
1639,2,2
1640,9,9
1641,183,183
1642,199,199
1643,30,30
1644,17,17
1645,17,17
1646,17,17
1647,77,77
1648,198,198
1649,77,77
1650,77,77
1651,164,164
1652,119,119
1653,10,10
1654,50,50
1655,188,188
1656,197,197
1657,120,120
1658,199,199
1659,7,7
1660,42,42
1661,69,69
1662,183,183
1663,84,84
1664,200,200
1665,97,97
1666,77,77
1667,141,141
1668,175,175
1669,17,17
1670,136,136
1671,50,50
1672,65,65
1673,188,188
1674,14,14
1675,130,130
1676,17,17
1677,96,96
1678,77,77
1679,190,190
1680,39,39
1681,180,180
1682,74,74
1683,2,2
1684,97,97
1685,92,92
1686,77,77
1687,183,183
1688,77,77
1689,201,201
1690,77,77
1691,114,114
1692,77,77
1693,74,74
1694,17,17
1695,16,16
1696,3,3
1697,176,176
1698,34,34
1699,77,77
1700,190,190
1701,3,3
1702,77,77
1703,108,108
1704,7,7
1705,68,68
1706,164,164
1707,77,77
1708,124,124
1709,83,83
1710,14,14
1711,189,189
1712,92,92
1713,74,74
1714,52,52
1715,24,24
1716,17,17
1717,45,45
1718,39,39
1719,179,179
1720,17,17
1721,77,77
1722,97,97
1723,136,136
1724,2,2
1725,5,5
1726,17,17
1727,17,17
1728,15,15
1729,62,62
1730,77,77
1731,202,202
1732,17,17
1733,77,77
1734,45,45
1735,117,117
1736,59,59
1737,188,188
1738,59,59
1739,77,77
1740,189,189
1741,130,130
1742,62,62
1743,35,35
1744,108,108
1745,81,81
1746,198,198
1747,77,77
1748,62,62
1749,97,97
1750,15,15
1751,188,188
1752,39,39
1753,77,77
1754,188,188
1755,30,30
1756,180,180
1757,77,77
1758,124,124
1759,87,87
1760,117,117
1761,197,197
1762,39,39
1763,77,77
1764,77,77
1765,197,197
1766,17,17
1767,17,17
1768,81,81
1769,17,17
1770,124,124
1771,180,180
1772,120,120
1773,17,17
1774,30,30
1775,190,190
1776,77,77
1777,124,124
1778,77,77
1779,80,80
1780,2,2
1781,120,120
1782,196,196
1783,36,36
1784,109,109
1785,97,97
1786,77,77
1787,34,34
1788,203,203
1789,39,39
1790,17,17
1791,200,200
1792,95,95
1793,136,136
1794,77,77
1795,124,124
1796,35,35
1797,3,3
1798,142,142
1799,142,142
1800,77,77
1801,17,17
1802,120,120
1803,108,108
1804,6,6
1805,16,16
1806,9,9
1807,21,21
1808,18,18
1809,26,26
1810,36,36
1811,28,28
1812,1,1
1813,39,39
1814,90,90
1815,30,30
1816,10,10
1817,5,5
1818,46,46
1819,46,46
1820,49,49
1821,48,48
1822,34,34
1823,43,43
1824,50,50
1825,3,3
1826,54,54
1827,55,55
1828,16,16
1829,34,34
1830,3,3
1831,57,57
1832,14,14
1833,64,64
1834,20,20
1835,22,22
1836,61,61
1837,62,62
1838,12,12
1839,67,67
1840,1,1
1841,68,68
1842,50,50
1843,69,69
1844,50,50
1845,74,74
1846,72,72
1847,10,10
1848,39,39
1849,25,25
1850,82,82
1851,30,30
1852,86,86
1853,39,39
1854,1,1
1855,79,79
1856,18,18
1857,18,18
1858,92,92
1859,93,93
1860,96,96
1861,58,58
1862,92,92
1863,89,89
1864,22,22
1865,53,53
1866,14,14
1867,11,11
1868,92,92
1869,101,101
1870,14,14
1871,24,24
1872,203,203
1873,102,102
1874,53,53
1875,15,15
1876,9,9
1877,9,9
1878,91,91
1879,105,105
1880,83,83
1881,18,18
1882,106,106
1883,2,2
1884,1,1
1885,13,13
1886,108,108
1887,109,109
1888,106,106
1889,73,73
1890,100,100
1891,58,58
1892,112,112
1893,85,85
1894,50,50
1895,90,90
1896,73,73
1897,5,5
1898,116,116
1899,110,110
1900,17,17
1901,49,49
1902,50,50
1903,36,36
1904,89,89
1905,37,37
1906,2,2
1907,99,99
1908,58,58
1909,15,15
1910,118,118
1911,119,119
1912,45,45
1913,18,18
1914,45,45
1915,1,1
1916,94,94
1917,106,106
1918,65,65
1919,95,95
1920,108,108
1921,124,124
1922,62,62
1923,112,112
1924,18,18
1925,132,132
1926,126,126
1927,14,14
1928,76,76
1929,92,92
1930,105,105
1931,13,13
1932,128,128
1933,22,22
1934,2,2
1935,127,127
1936,117,117
1937,100,100
1938,54,54
1939,103,103
1940,84,84
1941,188,188
1942,84,84
1943,39,39
1944,51,51
1945,41,41
1946,126,126
1947,39,39
1948,45,45
1949,181,181
1950,35,35
1951,131,131
1952,117,117
1953,31,31
1954,31,31
1955,132,132
1956,137,137
1957,100,100
1958,89,89
1959,135,135
1960,107,107
1961,139,139
1962,58,58
1963,77,77
1964,69,69
1965,64,64
1966,66,66
1967,134,134
1968,5,5
1969,139,139
1970,98,98
1971,172,172
1972,48,48
1973,115,115
1974,145,145
1975,146,146
1976,109,109
1977,70,70
1978,109,109
1979,38,38
1980,148,148
1981,28,28
1982,47,47
1983,149,149
1984,21,21
1985,64,64
1986,151,151
1987,76,76
1988,63,63
1989,76,76
1990,5,5
1991,56,56
1992,27,27
1993,82,82
1994,5,5
1995,154,154
1996,156,156
1997,135,135
1998,16,16
1999,77,77
2000,81,81
2001,157,157
2002,155,155
2003,158,158
2004,158,158
2005,129,129
2006,139,139
2007,21,21
2008,124,124
2009,11,11
2010,8,8
2011,159,159
2012,43,43
2013,43,43
2014,160,160
2015,120,120
2016,7,7
2017,45,45
2018,139,139
2019,22,22
2020,41,41
2021,47,47
2022,163,163
2023,164,164
2024,144,144
2025,80,80
2026,88,88
2027,88,88
2028,161,161
2029,130,130
2030,48,48
2031,3,3
2032,150,150
2033,21,21
2034,165,165
2035,150,150
2036,66,66
2037,40,40
2038,26,26
2039,166,166
2040,48,48
2041,71,71
2042,150,150
2043,107,107
2044,98,98
2045,134,134
2046,70,70
2047,163,163
2048,157,157
2049,22,22
2050,170,170
2051,144,144
2052,67,67
2053,19,19
2054,24,24
2055,24,24
2056,4,4
2057,162,162
2058,173,173
2059,138,138
2060,88,88
2061,138,138
2062,2,2
2063,198,198
2064,104,104
2065,104,104
2066,79,79
2067,174,174
2068,139,139
2069,175,175
2070,139,139
2071,24,24
2072,159,159
2073,121,121
2074,142,142
2075,109,109
2076,42,42
2077,174,174
2078,113,113
2079,161,161
2080,193,193
2081,154,154
2082,82,82
2083,77,77
2084,168,168
2085,105,105
2086,126,126
2087,42,42
2088,161,161
2089,104,104
2090,138,138
2091,56,56
2092,121,121
2093,20,20
2094,124,124
2095,26,26
2096,96,96
2097,42,42
2098,112,112
2099,38,38
2100,169,169
2101,180,180
2102,63,63
2103,73,73
2104,99,99
2105,144,144
2106,143,143
2107,81,81
2108,56,56
2109,161,161
2110,126,126
2111,161,161
2112,87,87
2113,119,119
2114,138,138
2115,157,157
2116,157,157
2117,123,123
2118,42,42
2119,5,5
2120,82,82
2121,82,82
2122,75,75
2123,161,161
2124,27,27
2125,10,10
2126,109,109
2127,11,11
2128,58,58
2129,138,138
2130,88,88
2131,185,185
2132,176,176
2133,140,140
2134,186,186
2135,186,186
2136,161,161
2137,188,188
